,Name,Author,num_page,Language,User_rating,rating_num,Reviews,Genre_1,G_1_id,fiction,non_fiction,Genre_2,Genre_3,Year,Publisher
0,A Farewell to Arms,Ernest Hemingway,293,English,3.81,283881,10879,Classics,4,1,0,Fiction,Historical,2004,Arrow Books
1,A Little Princess,Frances Hodgson Burnett,242,English,4.2,287556,8086,Classics,4,1,0,Fiction,Childrens,2002,Penguin Books
2,Neuromancer,William Gibson,292,English,3.9,285887,10999,Science Fiction,7,1,0,Fiction,Science Fiction,2000,Ace
3,The Rescue,Nicholas Sparks,352,English,4.11,175314,4124,Romance,3,1,0,Fiction,Womens Fiction,2005,Grand Central Publishing
4,Suttree,Cormac McCarthy,471,English,4.18,19123,1578,Fiction,1,1,0,Gothic,Southern Gothic,1992,Vintage International
5,The Andromeda Strain,Michael Crichton,327,English,3.91,238212,4705,Science Fiction,7,1,0,Fiction,Thriller,2003,Avon Books
6,Fire and Ice,Erin Hunter,317,English,4.37,49994,2013,Fantasy,0,1,0,Animals,Fiction,2004,Avon Books
7,The Jewel in the Crown,Paul Scott,472,English,4.14,5477,406,Historical,6,1,0,Historical Fiction,Fiction,1998,University of Chicago Press
8,Wonderstruck,Brian Selznick,640,English,4.15,55724,6916,Historical,6,1,0,Historical Fiction,Fiction,2011,Scholastic Press
9,An Anonymous Girl,Greer Hendricks,375,English,3.82,125572,14249,Thriller,11,1,0,Mystery,Fiction,2019,St. Martin's Press
10,Interview with a Master,Jason Luke,260,English,3.95,5221,1102,Erotica,-1,1,0,BDSM,Adult Fiction,2014,Jason Luke
11,Seven Deadly Wonders,Matthew Reilly,547,English,4.08,27896,1198,Thriller,11,1,0,Fiction,Adventure,2006,Pocket Books
12,The Cellar,Natasha Preston,347,English,3.9,43270,4882,Thriller,11,1,0,Young Adult,Mystery,2014,Sourcebooks Fire
13,The Encyclopedia of the Dead,Danilo Kiš,201,English,4.09,2784,186,Short Stories,-1,1,0,Fiction,European Literature,1998,Northwestern University Press
14,The Hunger Games,Suzanne Collins,374,English,4.32,7099378,180891,Young Adult,2,1,0,Fiction,Science Fiction,2008,Scholastic Press
15,Harry Potter and the Order of the Phoenix,J.K. Rowling,870,English,4.5,2825108,49102,Fantasy,0,1,0,Young Adult,Fiction,2004,Scholastic Inc.
16,To Kill a Mockingbird,Harper Lee,336,English,4.27,5058211,99990,Classics,4,1,0,Fiction,Historical,2006,Harper Perennial Modern Classics
17,Pride and Prejudice,Jane Austen,279,English,4.27,3433173,81229,Classics,4,1,0,Fiction,Romance,2000,Modern Library
18,Twilight,Stephenie Meyer,387,English,3.62,5526061,111919,Young Adult,2,1,0,Fantasy,Romance,2006,"Little, Brown and Company"
19,The Book Thief,Markus Zusak,552,English,4.38,2085368,122513,Historical,6,1,0,Historical Fiction,Fiction,2006,Alfred A. Knopf
20,Animal Farm,George Orwell,141,English,3.97,3126881,67944,Classics,4,1,0,Fiction,Science Fiction,1996,Signet Classics
21,The Chronicles of Narnia,C.S. Lewis,767,English,4.25,576343,11099,Fantasy,0,1,0,Classics,Fiction,2014,HarperCollins
22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1728,English,4.6,119867,1942,Fantasy,0,1,0,Fiction,Classics,2012,Ballantine Books
23,The Fault in Our Stars,John Green,313,English,4.17,4100805,162727,Young Adult,2,1,0,Romance,Fiction,2012,Dutton Books
24,Gone with the Wind,Margaret Mitchell,1037,English,4.3,1137414,21334,Classics,4,1,0,Historical,Historical Fiction,1999,Warner Books
25,The Hitchhiker's Guide to the Galaxy,Douglas Adams,193,English,4.22,1597608,34747,Science Fiction,7,1,0,Fiction,Humor,2007,Del Rey
26,The Giving Tree,Shel Silverstein,64,English,4.37,992847,19422,Childrens,14,1,0,Childrens,Picture Books,1964,HarperCollins Publishers
27,Wuthering Heights,Emily Brontë,464,English,3.87,1500426,44246,Classics,4,1,0,Fiction,Romance,2002,Norton
28,The Picture of Dorian Gray,Oscar Wilde,272,English,4.1,1133083,39994,Classics,4,1,0,Fiction,Horror,2004,Random House: Modern Library
29,The Da Vinci Code,Dan Brown,489,English,3.88,2102503,49735,Fiction,1,1,0,Mystery,Thriller,2006,Anchor
30,Jane Eyre,Charlotte Brontë,532,English,4.13,1794442,48894,Classics,4,1,0,Fiction,Romance,2003,Penguin
31,Memoirs of a Geisha,Arthur Golden,503,English,4.13,1827191,32022,Fiction,1,1,0,Historical,Historical Fiction,2005,Vintage Books USA
32,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,239,English,4.06,502305,12101,Classics,4,1,0,Fantasy,Fiction,2000,Penguin Group (USA)
33,The Perks of Being a Wallflower,Stephen Chbosky,213,English,4.21,1430184,66396,Young Adult,2,1,0,Fiction,Contemporary,1999,MTV Books/Pocket Books
34,Les Misérables,Victor Hugo,1463,English,4.18,729404,19162,Classics,4,1,0,Fiction,Historical,1987,Penguin
35,Fahrenheit 451,Ray Bradbury,194,English,3.98,1933417,55828,Classics,4,1,0,Fiction,Science Fiction,2011,Simon & Schuster
36,Harry Potter and the Sorcerer's Stone,J.K. Rowling,309,English,4.47,8098147,127534,Fantasy,0,1,0,Fiction,Young Adult,2003,Scholastic Inc
37,Divergent,Veronica Roth,487,English,4.17,3298029,111937,Young Adult,2,1,0,Science Fiction,Dystopia,2012,Katherine Tegen Books
38,The Great Gatsby,F. Scott Fitzgerald,200,English,3.93,4247761,78057,Classics,4,1,0,Fiction,Academic,2004,Scribner
39,The Alchemist,Paulo Coelho,182,English,3.89,2419401,92735,Fiction,1,1,0,Classics,Fantasy,2014,HarperOne
40,Lord of the Flies,William Golding,182,English,3.69,2496694,43039,Classics,4,1,0,Fiction,Young Adult,1999,Penguin Books
41,Crime and Punishment,Fyodor Dostoevsky,671,English,4.23,719622,23548,Classics,4,1,0,Fiction,Cultural,2002,Penguin
42,Romeo and Juliet,William Shakespeare,281,English,3.75,2245764,22366,Classics,4,1,0,Plays,Fiction,2002,Washington Square Press
43,The Little Prince,Antoine de Saint-Exupéry,96,English,4.31,1630802,48103,Classics,4,1,0,Fiction,Fantasy,2000,"Harcourt, Inc."
44,City of Bones,Cassandra Clare,485,English,4.08,1783974,67007,Young Adult,2,1,0,Fantasy,Paranormal,2007,Margaret K. McElderry Books
45,Anne of Green Gables,L.M. Montgomery,320,English,4.27,826424,27916,Classics,4,1,0,Fiction,Young Adult,2003,Signet Book
46,The Help,Kathryn Stockett,464,English,4.46,2374517,86458,Fiction,1,1,0,Historical,Historical Fiction,2009,G.P. Putnam's Sons
47,Ender's Game,Orson Scott Card,324,English,4.3,1233459,45221,Science Fiction,7,1,0,Young Adult,Fantasy,2004,Tor
48,The Lightning Thief,Rick Riordan,377,English,4.27,2321263,70843,Fantasy,0,1,0,Young Adult,Fantasy,2006,Disney Hyperion Books
49,Charlotte's Web,E.B. White,184,English,4.18,1577166,20048,Classics,4,1,0,Childrens,Fiction,2001,HarperCollinsPublishers
50,Of Mice and Men,John Steinbeck,103,English,3.88,2142944,39264,Classics,4,1,0,Fiction,Academic,2002,Penguin Books
51,Dracula,Bram Stoker,488,English,4,1055026,31518,Classics,4,1,0,Horror,Fiction,1986,Norton
52,The Time Traveler's Wife,Audrey Niffenegger,500,English,3.98,1665033,48938,Fiction,1,1,0,Romance,Fantasy,2013,Zola Books
53,Brave New World,Aldous Huxley,268,English,3.99,1597189,35849,Classics,4,1,0,Fiction,Science Fiction,1998,HarperPerennial / Perennial Classics
54,One Hundred Years of Solitude,Gabriel García Márquez,417,English,4.09,830635,35059,Fiction,1,1,0,Classics,Magical Realism,2003,Harper
55,The Catcher in the Rye,J.D. Salinger,277,English,3.81,3012196,65206,Classics,4,1,0,Fiction,Young Adult,2001,Back Bay Books
56,The Princess Bride,William Goldman,456,English,4.25,836122,22027,Fantasy,0,1,0,Fiction,Classics,2003,Ballantine Books
57,A Thousand Splendid Suns,Khaled Hosseini,372,English,4.39,1282946,60854,Fiction,1,1,0,Historical,Historical Fiction,2007,Riverhead Books
58,The Secret Garden,Frances Hodgson Burnett,331,English,4.13,1001807,21935,Classics,4,1,0,Fiction,Childrens,1998,Children's Classics
59,A Game of Thrones,George R.R. Martin,835,English,4.44,2180562,56802,Fantasy,0,1,0,Fiction,Fantasy,2005,Bantam
60,A Wrinkle in Time,Madeleine L'Engle,218,English,3.99,1114252,35708,Fantasy,0,1,0,Fiction,Classics,2017,Square Fish
61,The Outsiders,S.E. Hinton,192,English,4.11,1073227,37208,Classics,4,1,0,Young Adult,Fiction,1997,Puffin Books (US/CAN)
62,The Adventures of Huckleberry Finn,Mark Twain,327,English,3.82,1202195,16884,Classics,4,1,0,Fiction,Historical,2002,Penguin Classics
63,The Lovely Bones,Alice Sebold,372,English,3.83,2153714,42284,Fiction,1,1,0,Mystery,Young Adult,2006,"Little, Brown and Company"
64,The Odyssey,Homer,541,English,3.78,934225,14364,Classics,4,1,0,Fiction,Poetry,2006,Penguin Classics
65,Where the Wild Things Are,Maurice Sendak,38,English,4.22,897759,12636,Childrens,14,1,0,Childrens,Picture Books,2000,Red Fox
66,Green Eggs and Ham,Dr. Seuss,64,English,4.29,686771,10200,Childrens,14,1,0,Childrens,Picture Books,1988,Random House Books for Young Readers
67,Life of Pi,Yann Martel,460,English,3.92,1448968,48986,Fiction,1,1,0,Fantasy,Classics,2006,Seal Books
68,A Tale of Two Cities,Charles Dickens,489,English,3.86,863390,19394,Classics,4,1,0,Fiction,Historical,2003,Penguin Books
69,The Kite Runner,Khaled Hosseini,371,English,4.32,2678728,81398,Fiction,1,1,0,Historical,Historical Fiction,2004,Riverhead Books
70,Water for Elephants,Sara Gruen,335,English,4.09,1475654,59977,Fiction,1,1,0,Historical,Historical Fiction,2007,Algonquin Books
71,Lolita,Vladimir Nabokov,331,English,3.88,727008,28597,Classics,4,1,0,Fiction,Literature,1995,Penguin
72,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,260,English,3.83,1300599,41022,Classics,4,1,0,Fiction,Horror,2018,Penguin Classics
73,The Handmaid's Tale,Margaret Atwood,314,English,4.12,1670060,79051,Fiction,1,1,0,Classics,Science Fiction,1998,Anchor Books
